A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/05/2015,00:00:00,REGULAR,0005297178,0001791007
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/05/2015,04:00:00,REGULAR,0005297224,0001791007
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/05/2015,08:00:00,REGULAR,0005297248,0001791036
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/05/2015,12:00:00,REGULAR,0005297388,0001791123
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/05/2015,16:00:00,REGULAR,0005297656,0001791182
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/05/2015,20:00:00,REGULAR,0005297995,0001791237
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/06/2015,00:00:00,REGULAR,0005298137,0001791264
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/06/2015,04:00:00,REGULAR,0005298155,0001791275
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/06/2015,08:00:00,REGULAR,0005298171,0001791290
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/06/2015,12:00:00,REGULAR,0005298282,0001791353
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/06/2015,16:00:00,REGULAR,0005298484,0001791400
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/06/2015,20:00:00,REGULAR,0005298755,0001791458
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/07/2015,00:00:00,REGULAR,0005298894,0001791482
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/07/2015,04:00:00,REGULAR,0005298912,0001791486
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/07/2015,08:00:00,REGULAR,0005298927,0001791509
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/07/2015,12:00:00,REGULAR,0005299052,0001791579
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/07/2015,16:00:00,REGULAR,0005299287,0001791630
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/07/2015,20:00:00,REGULAR,0005299536,0001791674
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/08/2015,00:00:00,REGULAR,0005299653,0001791708
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/08/2015,04:00:00,REGULAR,0005299658,0001791712
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/08/2015,08:00:00,REGULAR,0005299718,0001791806
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/08/2015,12:00:00,REGULAR,0005299913,0001792037
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/08/2015,16:00:00,REGULAR,0005300201,0001792118
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/08/2015,20:00:00,REGULAR,0005301136,0001792187
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/09/2015,00:00:00,REGULAR,0005301355,0001792225
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,09/09/2015,04:00:00,REGULAR,0005301374,0001792225
